,iso_code,continent,location,Date ,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy
67288,ZAF,Africa,South Africa,2021-06-13,129.104,0.995,0.751,0.159,1773417.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67287,ZAF,Africa,South Africa,2021-06-12,157.127,1.922,0.947,0.156,1767415.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67286,ZAF,Africa,South Africa,2021-06-11,135.225,3.069,0.82,0.151,1690026.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67285,ZAF,Africa,South Africa,2021-06-10,154.227,1.686,0.983,0.145,1619011.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67284,ZAF,Africa,South Africa,2021-06-09,149.742,2.141,0.906,0.139,1525271.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67283,ZAF,Africa,South Africa,2021-06-08,70.968,2.023,0.543,0.132,1433730.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67282,ZAF,Africa,South Africa,2021-06-07,55.388,1.501,0.391,0.127,1350245.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67281,ZAF,Africa,South Africa,2021-06-06,85.536,0.759,0.604,0.139,1343433.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67280,ZAF,Africa,South Africa,2021-06-05,91.892,1.636,0.682,0.122,1336547.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67279,ZAF,Africa,South Africa,2021-06-04,95.568,1.13,0.727,0.119,1266893.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67278,ZAF,Africa,South Africa,2021-06-03,90.375,0.91,0.738,0.116,1193352.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67277,ZAF,Africa,South Africa,2021-06-02,97.49,1.855,0.767,0.113,1117569.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67276,ZAF,Africa,South Africa,2021-06-01,60.935,1.602,0.618,0.12,1045104.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67275,ZAF,Africa,South Africa,2021-05-31,110.389,2.411,0.416,0.11,970488.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67274,ZAF,Africa,South Africa,2021-05-30,0.0,0.0,0.532,0.094,963876.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67273,ZAF,Africa,South Africa,2021-05-29,76.195,1.18,0.668,0.106,898955.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67272,ZAF,Africa,South Africa,2021-05-28,77.122,2.074,0.671,0.103,,59.30869,46.754,27.3,12294.876,2.32,64.13
67271,ZAF,Africa,South Africa,2021-05-27,74.559,1.568,0.732,0.1,,59.30869,46.754,27.3,12294.876,2.32,64.13
67270,ZAF,Africa,South Africa,2021-05-26,129.947,1.703,0.774,0.099,,59.30869,46.754,27.3,12294.876,2.32,64.13
67269,ZAF,Africa,South Africa,2021-05-25,0.0,1.72,0.473,0.084,700904.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67268,ZAF,Africa,South Africa,2021-05-24,40.18,1.214,0.394,0.092,651628.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67267,ZAF,Africa,South Africa,2021-05-23,48.796,0.506,0.495,0.091,647983.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67266,ZAF,Africa,South Africa,2021-05-22,71.423,0.894,0.738,0.09,642946.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67265,ZAF,Africa,South Africa,2021-05-21,56.181,2.546,0.588,0.087,642382.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67264,ZAF,Africa,South Africa,2021-05-20,61.391,1.029,0.668,0.084,597406.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67263,ZAF,Africa,South Africa,2021-05-19,59.384,2.816,0.68,0.081,558170.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67262,ZAF,Africa,South Africa,2021-05-18,39.708,1.349,0.546,0.079,519139.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67261,ZAF,Africa,South Africa,2021-05-17,29.625,0.843,0.329,0.078,,59.30869,46.754,27.3,12294.876,2.32,64.13
67260,ZAF,Africa,South Africa,2021-05-16,43.586,0.455,0.464,0.075,478733.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67259,ZAF,Africa,South Africa,2021-05-15,46.368,0.995,0.582,0.082,478452.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67258,ZAF,Africa,South Africa,2021-05-14,52.96,1.888,0.708,0.071,474318.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67257,ZAF,Africa,South Africa,2021-05-13,54.309,0.742,0.709,0.073,455169.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67256,ZAF,Africa,South Africa,2021-05-12,46.519,1.214,0.624,0.071,430730.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67255,ZAF,Africa,South Africa,2021-05-11,26.101,1.197,0.436,0.068,414372.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67254,ZAF,Africa,South Africa,2021-05-10,19.036,1.517,0.309,0.067,395230.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67253,ZAF,Africa,South Africa,2021-05-09,66.921,0.809,0.44,0.066,,59.30869,46.754,27.3,12294.876,2.32,64.13
67252,ZAF,Africa,South Africa,2021-05-08,0.0,0.0,0.504,0.055,382480.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67251,ZAF,Africa,South Africa,2021-05-07,38.038,1.13,0.437,0.065,381171.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67250,ZAF,Africa,South Africa,2021-05-06,36.234,1.062,0.549,0.06,,59.30869,46.754,27.3,12294.876,2.32,64.13
67249,ZAF,Africa,South Africa,2021-05-05,34.953,0.776,0.563,0.053,366101.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67248,ZAF,Africa,South Africa,2021-05-04,20.014,0.995,0.405,0.052,353181.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67247,ZAF,Africa,South Africa,2021-05-03,15.124,0.59,0.282,0.051,329098.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67246,ZAF,Africa,South Africa,2021-05-02,20.604,0.185,0.273,0.051,,59.30869,46.754,27.3,12294.876,2.32,64.13
67245,ZAF,Africa,South Africa,2021-05-01,27.517,0.944,0.471,0.049,318670.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67244,ZAF,Africa,South Africa,2021-04-30,28.225,0.32,0.503,0.047,317656.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67243,ZAF,Africa,South Africa,2021-04-29,18.311,0.776,0.589,0.046,307591.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67242,ZAF,Africa,South Africa,2021-04-28,21.076,0.809,0.38,0.048,298153.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67241,ZAF,Africa,South Africa,2021-04-27,14.838,0.86,0.367,0.047,,59.30869,46.754,27.3,12294.876,2.32,64.13
67240,ZAF,Africa,South Africa,2021-04-26,14.315,0.641,0.25,0.046,,59.30869,46.754,27.3,12294.876,2.32,64.13
67239,ZAF,Africa,South Africa,2021-04-25,18.564,0.388,0.379,0.045,,59.30869,46.754,27.3,12294.876,2.32,64.13
67238,ZAF,Africa,South Africa,2021-04-24,23.352,0.995,0.454,0.043,,59.30869,46.754,27.3,12294.876,2.32,64.13
67237,ZAF,Africa,South Africa,2021-04-23,27.601,1.197,0.572,0.045,,59.30869,46.754,27.3,12294.876,2.32,64.13
67236,ZAF,Africa,South Africa,2021-04-22,23.825,0.927,0.582,0.045,,59.30869,46.754,27.3,12294.876,2.32,64.13
67235,ZAF,Africa,South Africa,2021-04-21,26.455,0.894,0.575,0.043,,59.30869,46.754,27.3,12294.876,2.32,64.13
67234,ZAF,Africa,South Africa,2021-04-20,14.382,2.192,0.403,0.042,,59.30869,46.754,27.3,12294.876,2.32,64.13
67233,ZAF,Africa,South Africa,2021-04-19,12.545,0.354,0.306,0.042,,59.30869,46.754,27.3,12294.876,2.32,64.13
67232,ZAF,Africa,South Africa,2021-04-18,18.362,0.422,0.53,0.042,,59.30869,46.754,27.3,12294.876,2.32,64.13
67231,ZAF,Africa,South Africa,2021-04-17,22.341,0.809,0.242,0.043,,59.30869,46.754,27.3,12294.876,2.32,64.13
67230,ZAF,Africa,South Africa,2021-04-16,24.01,1.551,0.533,0.04,,59.30869,46.754,27.3,12294.876,2.32,64.13
67229,ZAF,Africa,South Africa,2021-04-15,23.133,1.231,0.734,0.039,,59.30869,46.754,27.3,12294.876,2.32,64.13
67228,ZAF,Africa,South Africa,2021-04-14,26.961,1.265,0.59,0.041,,59.30869,46.754,27.3,12294.876,2.32,64.13
67227,ZAF,Africa,South Africa,2021-04-13,14.281,1.13,0.441,0.038,292623.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67226,ZAF,Africa,South Africa,2021-04-12,11.044,0.573,0.27,0.038,289787.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67225,ZAF,Africa,South Africa,2021-04-11,15.698,1.113,0.388,0.038,,59.30869,46.754,27.3,12294.876,2.32,64.13
67224,ZAF,Africa,South Africa,2021-04-10,21.666,0.506,0.497,0.038,288406.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67223,ZAF,Africa,South Africa,2021-04-09,21.363,0.894,0.515,0.038,288368.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67222,ZAF,Africa,South Africa,2021-04-08,23.032,1.045,0.605,0.038,283629.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67221,ZAF,Africa,South Africa,2021-04-07,12.747,1.332,0.415,0.039,278909.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67220,ZAF,Africa,South Africa,2021-04-06,7.368,0.624,0.272,0.041,272438.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67219,ZAF,Africa,South Africa,2021-04-05,7.621,0.135,0.187,0.04,,59.30869,46.754,27.3,12294.876,2.32,64.13
67218,ZAF,Africa,South Africa,2021-04-04,7.807,0.556,0.204,0.04,,59.30869,46.754,27.3,12294.876,2.32,64.13
67217,ZAF,Africa,South Africa,2021-04-03,13.101,0.135,0.276,0.04,,59.30869,46.754,27.3,12294.876,2.32,64.13
67216,ZAF,Africa,South Africa,2021-04-02,21.464,0.826,0.466,0.041,,59.30869,46.754,27.3,12294.876,2.32,64.13
67215,ZAF,Africa,South Africa,2021-04-01,21.818,0.86,0.552,0.042,269102.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67214,ZAF,Africa,South Africa,2021-03-31,23.976,0.978,0.582,0.043,263878.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67213,ZAF,Africa,South Africa,2021-03-30,12.747,1.315,0.419,0.043,251707.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67212,ZAF,Africa,South Africa,2021-03-29,9.24,0.792,0.272,0.044,239665.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67211,ZAF,Africa,South Africa,2021-03-28,16.271,0.253,0.409,0.045,,59.30869,46.754,27.3,12294.876,2.32,64.13
67210,ZAF,Africa,South Africa,2021-03-27,23.386,0.776,0.465,0.046,231605.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67209,ZAF,Africa,South Africa,2021-03-26,25.561,1.13,0.493,0.046,231002.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67208,ZAF,Africa,South Africa,2021-03-25,26.202,2.748,0.54,0.046,220129.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67207,ZAF,Africa,South Africa,2021-03-24,17.67,2.04,0.424,0.045,207808.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67206,ZAF,Africa,South Africa,2021-03-23,8.599,0.927,0.277,0.046,194257.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67205,ZAF,Africa,South Africa,2021-03-22,10.1,1.433,0.235,0.046,,59.30869,46.754,27.3,12294.876,2.32,64.13
67204,ZAF,Africa,South Africa,2021-03-21,17.721,0.489,0.405,0.046,,59.30869,46.754,27.3,12294.876,2.32,64.13
67203,ZAF,Africa,South Africa,2021-03-20,23.234,0.792,0.444,0.045,,59.30869,46.754,27.3,12294.876,2.32,64.13
67202,ZAF,Africa,South Africa,2021-03-19,24.651,5.244,0.481,0.045,182983.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67201,ZAF,Africa,South Africa,2021-03-18,24.684,1.517,0.532,0.044,177275.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67200,ZAF,Africa,South Africa,2021-03-17,25.814,1.248,0.58,0.044,168413.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67199,ZAF,Africa,South Africa,2021-03-16,15.731,2.344,0.42,0.043,157286.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67198,ZAF,Africa,South Africa,2021-03-15,10.336,1.602,0.253,0.042,147753.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67197,ZAF,Africa,South Africa,2021-03-14,16.962,1.096,0.403,0.043,,59.30869,46.754,27.3,12294.876,2.32,64.13
67196,ZAF,Africa,South Africa,2021-03-13,25.983,1.383,0.554,0.043,145544.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67195,ZAF,Africa,South Africa,2021-03-12,20.655,1.163,0.407,0.042,145215.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67194,ZAF,Africa,South Africa,2021-03-11,24.853,1.602,0.565,0.042,138014.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67193,ZAF,Africa,South Africa,2021-03-10,24.904,1.838,0.611,0.042,128887.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67192,ZAF,Africa,South Africa,2021-03-09,16.709,1.737,0.519,0.042,107054.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67191,ZAF,Africa,South Africa,2021-03-08,10.757,2.108,0.23,0.043,101841.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67190,ZAF,Africa,South Africa,2021-03-07,14.534,0.523,0.32,0.043,101573.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67189,ZAF,Africa,South Africa,2021-03-06,20.688,1.366,0.492,0.044,101573.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67188,ZAF,Africa,South Africa,2021-03-05,22.138,1.754,0.489,0.046,100180.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67187,ZAF,Africa,South Africa,2021-03-04,23.673,1.619,0.519,0.048,92029.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67186,ZAF,Africa,South Africa,2021-03-03,24.398,1.602,0.565,0.049,83570.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67185,ZAF,Africa,South Africa,2021-03-02,14.433,3.271,0.4,0.051,76037.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67184,ZAF,Africa,South Africa,2021-03-01,9.543,1.416,0.216,0.051,73047.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67183,ZAF,Africa,South Africa,2021-02-28,19.694,0.877,0.385,0.052,70527.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67182,ZAF,Africa,South Africa,2021-02-27,24.398,2.647,0.448,0.053,67303.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67181,ZAF,Africa,South Africa,2021-02-26,27.888,1.973,0.485,0.053,63648.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67180,ZAF,Africa,South Africa,2021-02-25,28.259,2.428,0.537,0.054,52647.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67179,ZAF,Africa,South Africa,2021-02-24,31.395,1.855,0.582,0.057,41809.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67178,ZAF,Africa,South Africa,2021-02-23,16.827,4.434,0.423,0.059,32315.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67177,ZAF,Africa,South Africa,2021-02-22,13.354,1.636,0.259,0.06,23059.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67176,ZAF,Africa,South Africa,2021-02-21,24.094,1.905,0.419,0.061,15388.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67175,ZAF,Africa,South Africa,2021-02-20,28.495,1.366,0.484,0.063,10414.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67174,ZAF,Africa,South Africa,2021-02-19,32.221,2.546,0.533,0.066,6524.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67173,ZAF,Africa,South Africa,2021-02-18,39.235,3.878,0.583,0.069,2260.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67172,ZAF,Africa,South Africa,2021-02-17,39.117,2.782,0.597,0.07,,59.30869,46.754,27.3,12294.876,2.32,64.13
67171,ZAF,Africa,South Africa,2021-02-16,20.402,3.693,0.413,0.075,0.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67170,ZAF,Africa,South Africa,2021-02-15,18.581,3.288,0.266,0.076,,59.30869,46.754,27.3,12294.876,2.32,64.13
67169,ZAF,Africa,South Africa,2021-02-14,29.405,1.315,0.413,0.078,,59.30869,46.754,27.3,12294.876,2.32,64.13
67168,ZAF,Africa,South Africa,2021-02-13,40.163,2.546,0.525,0.081,,59.30869,46.754,27.3,12294.876,2.32,64.13
67167,ZAF,Africa,South Africa,2021-02-12,46.89,4.856,0.602,0.084,,59.30869,46.754,27.3,12294.876,2.32,64.13
67166,ZAF,Africa,South Africa,2021-02-11,41.95,3.996,0.544,0.088,,59.30869,46.754,27.3,12294.876,2.32,64.13
67165,ZAF,Africa,South Africa,2021-02-10,53.264,4.654,0.593,0.095,,59.30869,46.754,27.3,12294.876,2.32,64.13
67164,ZAF,Africa,South Africa,2021-02-09,29.372,6.677,0.453,0.097,,59.30869,46.754,27.3,12294.876,2.32,64.13
67163,ZAF,Africa,South Africa,2021-02-08,23.201,3.086,0.263,0.101,,59.30869,46.754,27.3,12294.876,2.32,64.13
67162,ZAF,Africa,South Africa,2021-02-07,41.056,1.855,0.439,0.103,,59.30869,46.754,27.3,12294.876,2.32,64.13
67161,ZAF,Africa,South Africa,2021-02-06,53.685,4.687,0.56,0.109,,59.30869,46.754,27.3,12294.876,2.32,64.13
67160,ZAF,Africa,South Africa,2021-02-05,63.212,5.008,0.611,0.114,,59.30869,46.754,27.3,12294.876,2.32,64.13
67159,ZAF,Africa,South Africa,2021-02-04,63.245,4.401,0.523,0.119,,59.30869,46.754,27.3,12294.876,2.32,64.13
67158,ZAF,Africa,South Africa,2021-02-03,68.422,6.711,0.668,0.124,,59.30869,46.754,27.3,12294.876,2.32,64.13
67157,ZAF,Africa,South Africa,2021-02-02,44.665,9.223,0.488,0.131,,59.30869,46.754,27.3,12294.876,2.32,64.13
67156,ZAF,Africa,South Africa,2021-02-01,42.962,3.962,0.363,0.138,,59.30869,46.754,27.3,12294.876,2.32,64.13
67155,ZAF,Africa,South Africa,2021-01-31,76.296,3.591,0.575,0.143,,59.30869,46.754,27.3,12294.876,2.32,64.13
67154,ZAF,Africa,South Africa,2021-01-30,89.312,5.362,0.7,0.149,,59.30869,46.754,27.3,12294.876,2.32,64.13
67153,ZAF,Africa,South Africa,2021-01-29,103.543,8.903,0.798,0.16,,59.30869,46.754,27.3,12294.876,2.32,64.13
67152,ZAF,Africa,South Africa,2021-01-28,120.556,9.358,0.816,0.17,,59.30869,46.754,27.3,12294.876,2.32,64.13
67151,ZAF,Africa,South Africa,2021-01-27,119.207,12.696,0.827,0.177,,59.30869,46.754,27.3,12294.876,2.32,64.13
67150,ZAF,Africa,South Africa,2021-01-26,101.857,11.465,0.666,0.186,,59.30869,46.754,27.3,12294.876,2.32,64.13
67149,ZAF,Africa,South Africa,2021-01-25,76.734,4.097,0.44,0.193,,59.30869,46.754,27.3,12294.876,2.32,64.13
67148,ZAF,Africa,South Africa,2021-01-24,137.366,5.058,0.778,0.198,,59.30869,46.754,27.3,12294.876,2.32,64.13
67147,ZAF,Africa,South Africa,2021-01-23,206.901,8.397,1.082,0.204,,59.30869,46.754,27.3,12294.876,2.32,64.13
67146,ZAF,Africa,South Africa,2021-01-22,198.301,9.695,1.05,0.211,,59.30869,46.754,27.3,12294.876,2.32,64.13
67145,ZAF,Africa,South Africa,2021-01-21,191.894,10.909,0.987,0.217,,59.30869,46.754,27.3,12294.876,2.32,64.13
67144,ZAF,Africa,South Africa,2021-01-20,214.302,9.543,1.046,0.226,,59.30869,46.754,27.3,12294.876,2.32,64.13
67143,ZAF,Africa,South Africa,2021-01-19,164.9,14.146,0.787,0.235,,59.30869,46.754,27.3,12294.876,2.32,64.13
67142,ZAF,Africa,South Africa,2021-01-18,151.917,5.8,0.673,0.241,,59.30869,46.754,27.3,12294.876,2.32,64.13
67141,ZAF,Africa,South Africa,2021-01-17,206.833,4.283,0.922,0.248,,59.30869,46.754,27.3,12294.876,2.32,64.13
67140,ZAF,Africa,South Africa,2021-01-16,235.598,6.475,1.012,0.255,,59.30869,46.754,27.3,12294.876,2.32,64.13
67139,ZAF,Africa,South Africa,2021-01-15,250.891,10.369,1.099,0.262,,59.30869,46.754,27.3,12294.876,2.32,64.13
67138,ZAF,Africa,South Africa,2021-01-14,311.978,12.005,1.262,0.271,,59.30869,46.754,27.3,12294.876,2.32,64.13
67137,ZAF,Africa,South Africa,2021-01-13,312.855,13.59,1.209,0.279,,59.30869,46.754,27.3,12294.876,2.32,64.13
67136,ZAF,Africa,South Africa,2021-01-12,220.963,12.73,0.854,0.288,,59.30869,46.754,27.3,12294.876,2.32,64.13
67135,ZAF,Africa,South Africa,2021-01-11,253.69,7.014,0.885,0.292,,59.30869,46.754,27.3,12294.876,2.32,64.13
67134,ZAF,Africa,South Africa,2021-01-10,293.734,5.716,1.063,0.297,,59.30869,46.754,27.3,12294.876,2.32,64.13
67133,ZAF,Africa,South Africa,2021-01-09,364.297,6.728,1.301,0.302,,59.30869,46.754,27.3,12294.876,2.32,64.13
67132,ZAF,Africa,South Africa,2021-01-08,370.603,10.386,1.285,0.309,,59.30869,46.754,27.3,12294.876,2.32,64.13
67131,ZAF,Africa,South Africa,2021-01-07,354.063,7.436,1.168,0.317,,59.30869,46.754,27.3,12294.876,2.32,64.13
67130,ZAF,Africa,South Africa,2021-01-06,368.108,14.231,1.181,0.321,,59.30869,46.754,27.3,12294.876,2.32,64.13
67129,ZAF,Africa,South Africa,2021-01-05,242.966,8.65,0.807,0.324,,59.30869,46.754,27.3,12294.876,2.32,64.13
67128,ZAF,Africa,South Africa,2021-01-04,212.465,7.318,0.631,0.326,,59.30869,46.754,27.3,12294.876,2.32,64.13
67127,ZAF,Africa,South Africa,2021-01-03,199.954,6.778,0.617,0.324,,59.30869,46.754,27.3,12294.876,2.32,64.13
67126,ZAF,Africa,South Africa,2021-01-02,252.948,4.856,0.791,0.324,,59.30869,46.754,27.3,12294.876,2.32,64.13
67125,ZAF,Africa,South Africa,2021-01-01,282.016,7.048,0.845,0.322,,59.30869,46.754,27.3,12294.876,2.32,64.13
67124,ZAF,Africa,South Africa,2020-12-31,303.497,7.351,0.935,0.313,,59.30869,46.754,27.3,12294.876,2.32,64.13
67123,ZAF,Africa,South Africa,2020-12-30,298.607,7.84,0.898,0.299,,59.30869,46.754,27.3,12294.876,2.32,64.13
67122,ZAF,Africa,South Africa,2020-12-29,161.528,8.38,0.53,0.285,,59.30869,46.754,27.3,12294.876,2.32,64.13
67121,ZAF,Africa,South Africa,2020-12-28,125.749,5.665,0.4,0.278,,59.30869,46.754,27.3,12294.876,2.32,64.13
67120,ZAF,Africa,South Africa,2020-12-27,160.213,3.608,0.497,0.271,,59.30869,46.754,27.3,12294.876,2.32,64.13
67119,ZAF,Africa,South Africa,2020-12-26,194.778,4.131,0.638,0.261,,59.30869,46.754,27.3,12294.876,2.32,64.13
67118,ZAF,Africa,South Africa,2020-12-25,249.474,4.94,0.881,0.251,,59.30869,46.754,27.3,12294.876,2.32,64.13
67117,ZAF,Africa,South Africa,2020-12-24,241.196,5.497,0.944,0.241,,59.30869,46.754,27.3,12294.876,2.32,64.13
67116,ZAF,Africa,South Africa,2020-12-23,236.829,6.93,0.911,0.234,,59.30869,46.754,27.3,12294.876,2.32,64.13
67115,ZAF,Africa,South Africa,2020-12-22,160.196,5.716,0.658,0.225,,59.30869,46.754,27.3,12294.876,2.32,64.13
67114,ZAF,Africa,South Africa,2020-12-21,148.191,3.642,0.604,0.221,,59.30869,46.754,27.3,12294.876,2.32,64.13
67113,ZAF,Africa,South Africa,2020-12-20,159.252,2.563,0.682,0.216,,59.30869,46.754,27.3,12294.876,2.32,64.13
67112,ZAF,Africa,South Africa,2020-12-19,184.442,4.283,0.816,0.212,,59.30869,46.754,27.3,12294.876,2.32,64.13
67111,ZAF,Africa,South Africa,2020-12-18,147.112,4.62,0.687,0.207,,59.30869,46.754,27.3,12294.876,2.32,64.13
67110,ZAF,Africa,South Africa,2020-12-17,153.873,3.102,0.717,0.203,,59.30869,46.754,27.3,12294.876,2.32,64.13
67109,ZAF,Africa,South Africa,2020-12-16,168.744,2.799,0.811,0.198,,59.30869,46.754,27.3,12294.876,2.32,64.13
67108,ZAF,Africa,South Africa,2020-12-15,127.334,3.541,0.613,0.185,,59.30869,46.754,27.3,12294.876,2.32,64.13
67107,ZAF,Africa,South Africa,2020-12-14,87.053,2.951,0.422,0.177,,59.30869,46.754,27.3,12294.876,2.32,64.13
67106,ZAF,Africa,South Africa,2020-12-13,134.871,2.866,0.665,0.174,,59.30869,46.754,27.3,12294.876,2.32,64.13
67105,ZAF,Africa,South Africa,2020-12-12,132.898,2.597,0.678,0.167,,59.30869,46.754,27.3,12294.876,2.32,64.13
67104,ZAF,Africa,South Africa,2020-12-11,140.266,3.456,0.743,0.16,,59.30869,46.754,27.3,12294.876,2.32,64.13
67103,ZAF,Africa,South Africa,2020-12-10,137.686,2.917,0.762,0.153,,59.30869,46.754,27.3,12294.876,2.32,64.13
67102,ZAF,Africa,South Africa,2020-12-09,113.12,2.394,0.847,0.156,,59.30869,46.754,27.3,12294.876,2.32,64.13
67101,ZAF,Africa,South Africa,2020-12-08,67.629,3.086,0.474,0.171,,59.30869,46.754,27.3,12294.876,2.32,64.13
67100,ZAF,Africa,South Africa,2020-12-07,55.86,0.725,0.325,0.172,,59.30869,46.754,27.3,12294.876,2.32,64.13
67099,ZAF,Africa,South Africa,2020-12-06,69.4,2.344,0.451,0.169,,59.30869,46.754,27.3,12294.876,2.32,64.13
67098,ZAF,Africa,South Africa,2020-12-05,78.319,1.754,0.537,0.17,,59.30869,46.754,27.3,12294.876,2.32,64.13
67097,ZAF,Africa,South Africa,2020-12-04,83.158,2.698,0.563,0.178,,59.30869,46.754,27.3,12294.876,2.32,64.13
67096,ZAF,Africa,South Africa,2020-12-03,74.188,1.585,,0.19,,59.30869,46.754,27.3,12294.876,2.32,64.13
67095,ZAF,Africa,South Africa,2020-12-02,70.361,1.096,,0.163,,59.30869,46.754,27.3,12294.876,2.32,64.13
67094,ZAF,Africa,South Africa,2020-12-01,38.696,1.838,,0.142,,59.30869,46.754,27.3,12294.876,2.32,64.13
67093,ZAF,Africa,South Africa,2020-11-30,38.814,0.978,,0.14,,59.30869,46.754,27.3,12294.876,2.32,64.13
67092,ZAF,Africa,South Africa,2020-11-29,43.215,0.641,,0.141,,59.30869,46.754,27.3,12294.876,2.32,64.13
67091,ZAF,Africa,South Africa,2020-11-28,53.921,1.029,,0.134,,59.30869,46.754,27.3,12294.876,2.32,64.13
67090,ZAF,Africa,South Africa,2020-11-27,56.821,1.501,,0.122,,59.30869,46.754,27.3,12294.876,2.32,64.13
67089,ZAF,Africa,South Africa,2020-11-26,51.746,1.484,0.472,0.112,,59.30869,46.754,27.3,12294.876,2.32,64.13
67088,ZAF,Africa,South Africa,2020-11-25,54.798,1.99,0.496,0.111,,59.30869,46.754,27.3,12294.876,2.32,64.13
67087,ZAF,Africa,South Africa,2020-11-24,42.034,1.939,0.342,0.109,,59.30869,46.754,27.3,12294.876,2.32,64.13
