,iso_code,continent,location,date_,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,day_num,school_closures,date
23610,ESP,Europe,Spain,02/05/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,5,0,2020-02-05
19377,DEU,Europe,Germany,02/05/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,11,0,2020-02-05
36750,ITA,Europe,Italy,02/05/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,6,0,2020-02-05
26090,FRA,Europe,France,02/05/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,13,0,2020-02-05
23611,ESP,Europe,Spain,02/06/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,6,0,2020-02-06
69956,SWE,Europe,Sweden,02/06/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,6,0,2020-02-06
36751,ITA,Europe,Italy,02/06/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,7,0,2020-02-06
19378,DEU,Europe,Germany,02/06/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,12,0,2020-02-06
26091,FRA,Europe,France,02/06/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,14,0,2020-02-06
36752,ITA,Europe,Italy,02/07/2020,0.017,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,8,0,2020-02-07
23612,ESP,Europe,Spain,02/07/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,7,0,2020-02-07
69957,SWE,Europe,Sweden,02/07/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,7,0,2020-02-07
19379,DEU,Europe,Germany,02/07/2020,0.012,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,13,0,2020-02-07
26092,FRA,Europe,France,02/07/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,15,0,2020-02-07
19380,DEU,Europe,Germany,02/08/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,14,0,2020-02-08
26093,FRA,Europe,France,02/08/2020,0.074,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,16,0,2020-02-08
69958,SWE,Europe,Sweden,02/08/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,8,0,2020-02-08
23613,ESP,Europe,Spain,02/08/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,8,0,2020-02-08
36753,ITA,Europe,Italy,02/08/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,9,0,2020-02-08
23614,ESP,Europe,Spain,02/09/2020,0.021,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,9,0,2020-02-09
19381,DEU,Europe,Germany,02/09/2020,0.012,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,15,0,2020-02-09
36754,ITA,Europe,Italy,02/09/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,10,0,2020-02-09
26094,FRA,Europe,France,02/09/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,17,0,2020-02-09
69959,SWE,Europe,Sweden,02/09/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,9,0,2020-02-09
26095,FRA,Europe,France,02/10/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,18,0,2020-02-10
19382,DEU,Europe,Germany,02/10/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,16,0,2020-02-10
69960,SWE,Europe,Sweden,02/10/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,10,0,2020-02-10
36755,ITA,Europe,Italy,02/10/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,11,0,2020-02-10
23615,ESP,Europe,Spain,02/10/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,10,0,2020-02-10
69961,SWE,Europe,Sweden,02/11/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,11,0,2020-02-11
26096,FRA,Europe,France,02/11/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,19,0,2020-02-11
36756,ITA,Europe,Italy,02/11/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,12,0,2020-02-11
23616,ESP,Europe,Spain,02/11/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,11,0,2020-02-11
19383,DEU,Europe,Germany,02/11/2020,0.024,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,17,0,2020-02-11
26097,FRA,Europe,France,02/12/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,20,0,2020-02-12
36757,ITA,Europe,Italy,02/12/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,13,0,2020-02-12
23617,ESP,Europe,Spain,02/12/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,12,0,2020-02-12
19384,DEU,Europe,Germany,02/12/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,18,0,2020-02-12
69962,SWE,Europe,Sweden,02/12/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,12,0,2020-02-12
19385,DEU,Europe,Germany,02/13/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,19,0,2020-02-13
69963,SWE,Europe,Sweden,02/13/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,13,0,2020-02-13
26098,FRA,Europe,France,02/13/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,21,0,2020-02-13
23618,ESP,Europe,Spain,02/13/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,13,0,2020-02-13
36758,ITA,Europe,Italy,02/13/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,14,0,2020-02-13
69964,SWE,Europe,Sweden,02/14/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,14,0,2020-02-14
36759,ITA,Europe,Italy,02/14/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,15,0,2020-02-14
19386,DEU,Europe,Germany,02/14/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,20,0,2020-02-14
26099,FRA,Europe,France,02/14/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,22,0,2020-02-14
23619,ESP,Europe,Spain,02/14/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,14,0,2020-02-14
26100,FRA,Europe,France,02/15/2020,0.015,0.015,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,23,0,2020-02-15
19387,DEU,Europe,Germany,02/15/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,21,0,2020-02-15
69965,SWE,Europe,Sweden,02/15/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,15,0,2020-02-15
36760,ITA,Europe,Italy,02/15/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,16,0,2020-02-15
23620,ESP,Europe,Spain,02/15/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,15,0,2020-02-15
26101,FRA,Europe,France,02/16/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,24,0,2020-02-16
19388,DEU,Europe,Germany,02/16/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,22,0,2020-02-16
69966,SWE,Europe,Sweden,02/16/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,16,0,2020-02-16
36761,ITA,Europe,Italy,02/16/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,17,0,2020-02-16
23621,ESP,Europe,Spain,02/16/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,16,0,2020-02-16
19389,DEU,Europe,Germany,02/17/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,23,0,2020-02-17
36762,ITA,Europe,Italy,02/17/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,18,0,2020-02-17
23622,ESP,Europe,Spain,02/17/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,17,0,2020-02-17
26102,FRA,Europe,France,02/17/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,25,0,2020-02-17
69967,SWE,Europe,Sweden,02/17/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,17,0,2020-02-17
36763,ITA,Europe,Italy,02/18/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,19,0,2020-02-18
19390,DEU,Europe,Germany,02/18/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,24,0,2020-02-18
26103,FRA,Europe,France,02/18/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,26,0,2020-02-18
69968,SWE,Europe,Sweden,02/18/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,18,0,2020-02-18
23623,ESP,Europe,Spain,02/18/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,18,0,2020-02-18
19391,DEU,Europe,Germany,02/19/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,25,0,2020-02-19
